open_time,open,high,low,close,volume
2020/9/27 0:00,10721,10723,10711.93,10712.17,22.292266
2020/9/27 0:01,10712.17,10714.83,10712.17,10713.24,10.064948
2020/9/27 0:02,10713.24,10720.31,10713.24,10717.09,27.893735
2020/9/27 0:03,10717.09,10718.81,10716.89,10716.89,9.615504
2020/9/27 0:04,10717.31,10719.14,10716.89,10716.89,11.537458
2020/9/27 0:05,10716.89,10719.25,10712.16,10712.94,19.521372
2020/9/27 0:06,10712.93,10712.94,10707.13,10707.33,29.282776
2020/9/27 0:07,10707.34,10708.7,10706.05,10708.68,17.995688
2020/9/27 0:08,10708.68,10709.69,10708.14,10708.62,9.853984
2020/9/27 0:09,10708.63,10708.63,10704.92,10704.92,28.726747
2020/9/27 0:10,10704.93,10704.93,10701,10702.02,12.508084
2020/9/27 0:11,10702.55,10702.72,10682.78,10685.41,61.289691
2020/9/27 0:12,10685.41,10696.27,10685.4,10695.88,35.80057
2020/9/27 0:13,10695.67,10696.89,10693.88,10694.87,22.475438
2020/9/27 0:14,10694.87,10695.19,10693.46,10693.64,11.167217
2020/9/27 0:15,10693.63,10695,10689.99,10692.06,22.161299
2020/9/27 0:16,10692.07,10692.07,10687.27,10690.29,28.45231
2020/9/27 0:17,10690.22,10691.05,10688.14,10690.77,7.227105
2020/9/27 0:18,10690.78,10701.47,10690.63,10701.13,49.126762
2020/9/27 0:19,10700.96,10704.71,10698.37,10701.37,44.645204
2020/9/27 0:20,10701.37,10706.39,10701.37,10705.19,20.598731
2020/9/27 0:21,10705.19,10705.19,10692,10692.01,27.545747
2020/9/27 0:22,10692.37,10716,10692.36,10710.92,46.722985
2020/9/27 0:23,10710.92,10713.1,10706.27,10711.26,19.266422
2020/9/27 0:24,10711.26,10712.01,10707.57,10707.57,15.10546
2020/9/27 0:25,10707.58,10714.56,10707.58,10711.9,10.079648
2020/9/27 0:26,10711.91,10719,10711.89,10714.43,17.029047
2020/9/27 0:27,10714.42,10720,10714.28,10715.89,30.889361
2020/9/27 0:28,10715.89,10719.29,10713.11,10713.84,29.937872
2020/9/27 0:29,10714,10715.48,10713.92,10714,9.621358
2020/9/27 0:30,10714,10714,10711.82,10712.36,18.427875
2020/9/27 0:31,10712.46,10714.6,10706.25,10714.35,25.094598
2020/9/27 0:32,10714.36,10719.99,10712,10719.49,21.267738
2020/9/27 0:33,10719.48,10720.4,10714.22,10714.39,29.387543
2020/9/27 0:34,10714.78,10720,10714.78,10719.63,16.095182
2020/9/27 0:35,10719.62,10726.36,10719.16,10726.35,35.349677
2020/9/27 0:36,10726.23,10735,10726.01,10733,37.702426
2020/9/27 0:37,10733,10733.01,10727.7,10728.48,37.916335
2020/9/27 0:38,10728.48,10734.39,10727.55,10729.4,35.844377
2020/9/27 0:39,10729.4,10729.4,10723.57,10724.26,17.636408
2020/9/27 0:40,10724.26,10724.27,10719.85,10720.74,18.830767
2020/9/27 0:41,10720.74,10727.97,10719.46,10724.48,26.188858
2020/9/27 0:42,10724.49,10725.95,10720.65,10725.3,18.248719
2020/9/27 0:43,10725.3,10729.17,10724.45,10727.98,15.211394
2020/9/27 0:44,10727.98,10729.35,10726.06,10727.49,20.378867
2020/9/27 0:45,10727.5,10730,10727.5,10729.79,19.100633
2020/9/27 0:46,10729.79,10730,10726.41,10728.67,16.128303
2020/9/27 0:47,10728.68,10729.88,10725.55,10727.16,20.573448
2020/9/27 0:48,10727.16,10727.17,10723.29,10724.21,15.237527
2020/9/27 0:49,10724.21,10726.76,10720.29,10726.35,34.506668
2020/9/27 0:50,10726.35,10726.75,10724.28,10724.28,12.302357
2020/9/27 0:51,10724.28,10725,10719.55,10724.08,22.548213
2020/9/27 0:52,10724.08,10725.33,10720.27,10721.66,11.988175
2020/9/27 0:53,10721.66,10723.08,10721.47,10723.07,6.96256
2020/9/27 0:54,10723.07,10728.13,10723.06,10728.11,16.494895
2020/9/27 0:55,10728.11,10729.79,10726.8,10727.72,17.179525
2020/9/27 0:56,10727.72,10731.48,10727.72,10730.89,17.802398
2020/9/27 0:57,10730.9,10734.49,10730.89,10733.88,22.113842
2020/9/27 0:58,10733.88,10749,10733.87,10744.35,93.561885
2020/9/27 0:59,10744.35,10749.37,10741.48,10749.19,47.925618
2020/9/27 1:00,10749.19,10750,10743.73,10743.73,29.623149
2020/9/27 1:01,10743.73,10747.71,10741.23,10742.01,31.947487
2020/9/27 1:02,10742.01,10742.01,10734.65,10740.56,36.137592
2020/9/27 1:03,10740.77,10740.91,10735.23,10738.02,28.86842
2020/9/27 1:04,10738.02,10741.13,10736.81,10739.92,15.905271
2020/9/27 1:05,10739.92,10739.98,10736.13,10736.68,26.603702
2020/9/27 1:06,10736.68,10736.68,10733.19,10733.19,20.410355
2020/9/27 1:07,10733.19,10738.84,10731.7,10736.69,22.497801
2020/9/27 1:08,10736.69,10737.06,10733.68,10735.24,17.653534
2020/9/27 1:09,10735.23,10735.24,10731.4,10733.07,18.967278
2020/9/27 1:10,10733.06,10741.16,10732.99,10739,16.366051
2020/9/27 1:11,10739,10739,10734.27,10736.11,15.720272
2020/9/27 1:12,10736.11,10737.28,10734.89,10734.89,18.766712
2020/9/27 1:13,10734.89,10739.51,10733.51,10739.32,14.888409
2020/9/27 1:14,10739.33,10739.33,10731.14,10731.17,19.017229
2020/9/27 1:15,10731.56,10734.78,10730,10734.77,14.972046
2020/9/27 1:16,10734.78,10739.29,10734.78,10737.99,14.325799
2020/9/27 1:17,10738,10739.08,10737.35,10738.14,5.590266
2020/9/27 1:18,10738.14,10738.27,10735.15,10737.46,9.037033
2020/9/27 1:19,10737.46,10737.47,10734.47,10734.8,6.601356
2020/9/27 1:20,10734.8,10734.81,10731.35,10731.49,10.533555
2020/9/27 1:21,10731.49,10731.5,10721,10729.54,43.232423
2020/9/27 1:22,10729.53,10731.97,10727.97,10730,15.200964
2020/9/27 1:23,10730,10731.13,10728.16,10730.17,20.799241
2020/9/27 1:24,10730.17,10730.18,10727.34,10728.87,12.567889
2020/9/27 1:25,10728.87,10736.91,10727.31,10735.83,28.674618
2020/9/27 1:26,10735.84,10735.97,10730.06,10734.14,24.936713
2020/9/27 1:27,10734.14,10734.14,10732.71,10733.32,11.127901
2020/9/27 1:28,10733.32,10735.29,10730.94,10734.77,12.69739
2020/9/27 1:29,10734.77,10734.77,10729.95,10734.16,11.423314
2020/9/27 1:30,10734.17,10735,10733.38,10734.51,9.225373
2020/9/27 1:31,10734.5,10742.75,10734.5,10741.81,27.496625
2020/9/27 1:32,10742.11,10742.97,10742.11,10742.97,7.101414
2020/9/27 1:33,10742.97,10743.99,10740,10740,31.030094
2020/9/27 1:34,10740,10744.88,10740,10742.53,22.641485
2020/9/27 1:35,10742.53,10742.53,10739.07,10739.07,20.72995
2020/9/27 1:36,10739.07,10739.08,10732.33,10732.67,26.885103
2020/9/27 1:37,10732.83,10735.72,10732.27,10732.84,13.49555
2020/9/27 1:38,10732.84,10732.84,10731.29,10732.09,8.851011
2020/9/27 1:39,10732.1,10732.7,10729.32,10729.32,18.995314
2020/9/27 1:40,10729.32,10732,10729.32,10731.23,15.339241
2020/9/27 1:41,10731.23,10735.07,10730.63,10734.24,12.064141
2020/9/27 1:42,10734.24,10735,10732.69,10732.79,8.299192
2020/9/27 1:43,10732.78,10732.78,10725.01,10726.11,19.578578
2020/9/27 1:44,10726.11,10728.88,10726.11,10727.36,15.154691
2020/9/27 1:45,10727.35,10727.36,10724.37,10726.34,11.335453
2020/9/27 1:46,10726.35,10727.37,10723.66,10726.27,18.887719
2020/9/27 1:47,10726.26,10726.35,10724.56,10725.65,12.750549
2020/9/27 1:48,10725.65,10727,10725.65,10725.73,16.82882
2020/9/27 1:49,10725.73,10729.49,10725.72,10728.76,15.693353
2020/9/27 1:50,10728.78,10731.9,10726,10727.1,11.476083
2020/9/27 1:51,10727.09,10729.74,10727.09,10729.74,12.632692
2020/9/27 1:52,10729.73,10731.21,10727.83,10729.14,11.297476
2020/9/27 1:53,10729.13,10730.19,10729.13,10730.18,12.417898
2020/9/27 1:54,10730.18,10734.25,10730.17,10734.25,17.051518
2020/9/27 1:55,10734.31,10734.32,10734.18,10734.18,5.923414
2020/9/27 1:56,10734.18,10738,10733.43,10734.32,27.276335
2020/9/27 1:57,10734.33,10735.9,10733.55,10735.75,5.095774
2020/9/27 1:58,10735.76,10750,10735.76,10747.1,52.416662
2020/9/27 1:59,10747.1,10747.8,10742.42,10742.68,14.218321
2020/9/27 2:00,10742.69,10767.61,10742.68,10763.85,127.952862
2020/9/27 2:01,10763.85,10774.45,10763.29,10770.01,54.237633
2020/9/27 2:02,10770.01,10770.76,10763.58,10770,69.280118
2020/9/27 2:03,10770,10770,10759.87,10764.4,49.976304
2020/9/27 2:04,10764.39,10765.4,10755.83,10757.34,37.01099
2020/9/27 2:05,10757.34,10761.67,10752.45,10752.69,28.770755
2020/9/27 2:06,10752.7,10756.98,10750.82,10752.54,20.191264
2020/9/27 2:07,10752.55,10752.72,10730.92,10730.93,38.664633
2020/9/27 2:08,10730.82,10743.97,10729.18,10733.76,34.386451
2020/9/27 2:09,10733.76,10736.58,10730.94,10732.11,29.262185
